model,response,n_predictors,n_pairs,RMSE,MAE,R2
M4_12m,WUE,264,395,0.931288516390524,0.702103359276413,0.255143804319807
M4_24m,WUE,407,395,0.940644708797937,0.707164211407065,0.240102225073085
M5_raw_12m,WUE,144,395,0.81904383727242,0.604107969874674,0.423872994562938
M5_raw_24m,WUE,287,395,0.860942592966687,0.637680295147791,0.363420971636857
M5_anom_12m,WUE,144,395,0.975404125073218,0.732134877649104,0.182903942714379
M5_anom_24m,WUE,287,395,0.967756219566891,0.725246981465916,0.195667010957496
M6_raw_12m,WUE,244,395,0.806819605358172,0.598347450549304,0.440942053806752
M6_raw_24m,WUE,387,395,0.835324553561228,0.618615808584337,0.400741181658921
M6_anom_12m,WUE,244,395,0.912069448071312,0.686726748124125,0.285569880573167
M6_anom_24m,WUE,387,395,0.921567498576283,0.69427982261853,0.270612630155826
M7_raw_12m,WUE,165,395,0.856957177110503,0.629865102986907,0.369300945626334
M7_raw_24m,WUE,308,395,0.877512269925732,0.648764729506089,0.338682013837174
M7_anom_12m,WUE,165,395,0.992807100119915,0.743399059827916,0.153486891208844
M7_anom_24m,WUE,308,395,0.983749185203642,0.738719323201288,0.168862820104583
M8_raw_12m,WUE,265,395,0.823492317485588,0.609528388201886,0.417597751676735
M8_raw_24m,WUE,408,395,0.849122302160246,0.629366952700037,0.380780770624382
M8_anom_12m,WUE,265,395,0.929079328026627,0.700599610968272,0.258673485752803
M8_anom_24m,WUE,408,395,0.93607453091719,0.704190121163262,0.247468303684982
