model,response,R2_base,RMSE_base,R2_tuned,RMSE_tuned,dR2,dRMSE_pct,dataset
M1_24m,GPPsat,0.222171196840818,7.68105107216454,0.202638375289381,7.77689628869172,-0.019532821551437,1.24781381645169,filtered
M1_24m,NEPmax,0.240564584532353,7.58465734751396,0.221246231650528,7.68051997451391,-0.019318352881825,1.26390188254676,filtered
M1_24m,WUE,0.190090600069695,0.971105134170173,0.223692724184803,0.950746770215003,0.033602124115108,-2.09641193716544,filtered
M1_24m,uWUE,0.125823226822409,0.931785258878559,0.139788975843195,0.9243122438699,0.013965749020786,-0.802010435070965,filtered
M2_12m,ETmax,0.355705443863699,0.0526517812750418,0.360971572602747,0.0524361656450721,0.00526612873904797,-0.409512507930864,filtered
M2_12m,GPPsat,0.358924919628006,6.97321555040026,0.34536942812238,7.04655399228665,-0.013555491505626,1.05171626140511,filtered
M2_12m,NEPmax,0.413211066028533,6.66701603835306,0.428408037478614,6.58011674542331,0.015196971450081,-1.30342108718275,filtered
M2_12m,WUE,0.299910343860769,0.902869247768074,0.320094370867019,0.889758916540229,0.02018402700625,-1.4520741802043,filtered
M2_12m,uWUE,0.201859042204325,0.890340241181397,0.204774023019159,0.888712897851114,0.00291498081483402,-0.182777690484224,filtered
M2_24m,ETmax,0.362369873067765,0.0523787647020776,0.365399823851161,0.0522541673382222,0.00302995078339596,-0.237877629539551,filtered
M2_24m,GPPsat,0.339154600654559,7.07992370539103,0.337414681067442,7.08923783570811,-0.001739919587117,0.131556930620415,filtered
M2_24m,NEPmax,0.407319444093433,6.70040234776148,0.418082434634679,6.63928444960953,0.010762990541246,-0.9121526585992,filtered
M2_24m,WUE,0.271264615191881,0.921155520952813,0.29368506946743,0.906874569969891,0.022420454275549,-1.55033006458564,filtered
M2_24m,uWUE,0.194469964782738,0.894452069173546,0.190425375859451,0.896694791981148,-0.00404458892328702,0.250737058462416,filtered
M3_12m,ETmax,0.416119138878432,0.0501225268879482,0.394762643468037,0.0510309555388051,-0.021356495410395,1.81241590809606,filtered
M3_12m,GPPsat,0.228433359259142,7.65006919545234,0.178219952373542,7.89507824599811,-0.0502134068856,3.20270371791432,filtered
M3_12m,NEPmax,0.257393082469645,7.50015152629098,0.162847342080991,7.96329624906368,-0.094545740388654,6.17513821086407,filtered
M3_12m,WUE,0.152450809981634,0.993414482471995,0.142820578072452,0.999042350250989,-0.009630231909182,0.566517589414405,filtered
M3_12m,uWUE,0.0577778595218602,0.967370538034162,0.00888198767726744,0.992153544873984,-0.0488958718445928,2.5618939036726,filtered
M3_24m,ETmax,0.402467775813893,0.0507050836090545,0.396959334762479,0.0509382636760034,-0.00550844105141396,0.459875125631896,filtered
M3_24m,GPPsat,0.23275144118704,7.62863230857304,0.173888845218632,7.91585600384265,-0.058862595968408,3.76507457236901,filtered
M3_24m,NEPmax,0.260823339155308,7.48280909166085,0.173447569999544,7.91271904947261,-0.087375769155764,5.74530169813993,filtered
M3_24m,WUE,0.169037867926956,0.98364558484453,0.147680240883832,0.996206357218648,-0.021357627043124,1.27696119086462,filtered
M3_24m,uWUE,0.0707210636824613,0.960703229334415,0.0133381183748177,0.989920638964746,-0.0573829453076436,3.0412523595422,filtered
M4_12m,ETmax,0.40281076099786,0.0506905290895858,0.397382428653357,0.0509203913740923,-0.00542833234450302,0.453461995041049,filtered
M4_12m,GPPsat,0.347043089678426,7.03754043970299,0.264131900613831,7.47099817550537,-0.082911189064595,6.1592219542638,filtered
M4_12m,NEPmax,0.415764676726202,6.65249333233667,0.317335253409271,7.1910826514504,-0.098429423316931,8.09605199445652,filtered
M4_12m,WUE,0.255143804319807,0.931288516390524,0.241377190014456,0.939855265445713,-0.013766614305351,0.919881315447961,filtered
M4_12m,uWUE,0.141687568111482,0.923291644611985,0.108278539908175,0.941089251376137,-0.033409028203307,1.92762567147799,filtered
M4_24m,ETmax,0.400441802828018,0.0507909703587464,0.396013590497017,0.0509781910808865,-0.00442821233100099,0.368610248667674,filtered
M4_24m,GPPsat,0.341764999530227,7.06592670105573,0.258278289247762,7.50065409799889,-0.083486710282465,6.15244702267017,filtered
M4_24m,NEPmax,0.408214253537315,6.69534241460532,0.32485861378736,7.15134792808681,-0.083355639749955,6.81078704035739,filtered
M4_24m,WUE,0.240102225073085,0.940644708797937,0.231862536816493,0.945730736333535,-0.00823968825659202,0.540695917175514,filtered
M4_24m,uWUE,0.159625000060776,0.913593005727402,0.105237193641971,0.942692746465415,-0.054387806418805,3.18519740799064,filtered
M5_anom_12m,ETmax,0.36048758886598,0.0524560187900281,0.367498847883883,0.0521676769738634,0.007011259017903,-0.549682996948121,filtered
M5_anom_12m,GPPsat,0.229928094529943,7.64265546660928,0.2130810293383,7.72580335474296,-0.016847065191643,1.08794500153714,filtered
M5_anom_12m,NEPmax,0.237869339570231,7.59810444487641,0.224861577873232,7.66267091695271,-0.013007761696999,0.849770788816133,filtered
M5_anom_12m,WUE,0.182903942714379,0.975404125073218,0.219325368792868,0.953417378615519,0.036421426078489,-2.25411661613063,filtered
M5_anom_12m,uWUE,0.145143889142633,0.921430777093194,0.136210846101932,0.926232631370626,-0.008933043040701,0.521130224516725,filtered
M5_anom_24m,ETmax,0.35978582896171,0.052484791834122,0.372041838281252,0.0519799900795953,0.012256009319542,-0.961805766748816,filtered
M5_anom_24m,GPPsat,0.215349918602284,7.71465757840849,0.203694244305829,7.77174548649116,-0.011655674296455,0.739992767047057,filtered
M5_anom_24m,NEPmax,0.236359624346449,7.60562631705282,0.219105961622101,7.69106702311265,-0.017253662724348,1.12338816683986,filtered
M5_anom_24m,WUE,0.195667010957496,0.967756219566891,0.217112748052626,0.954767530363605,0.02144573709513,-1.34214474065576,filtered
M5_anom_24m,uWUE,0.136571335501743,0.926039336578802,0.141049907965301,0.923634548288721,0.00447857246355801,-0.259685328159525,filtered
M5_raw_12m,ETmax,0.507964354563828,0.0460117891232958,0.673540403198815,0.037478789675375,0.165576048634987,-18.5452459261154,filtered
M5_raw_12m,GPPsat,0.471602069719426,6.33080878215436,0.682538226210543,4.90709382039215,0.210936156491117,-22.4886742081906,filtered
M5_raw_12m,NEPmax,0.49812753478113,6.16576867402717,0.730666857170121,4.51684764392478,0.232539322388991,-26.7431542971819,filtered
M5_raw_12m,WUE,0.423872994562938,0.81904383727242,0.647532097363548,0.640630804322369,0.22365910280061,-21.7830871598036,filtered
M5_raw_12m,uWUE,0.40586388924857,0.768173247724965,0.642587017536195,0.595801189165906,0.236723128287625,-22.4392165529793,filtered
M5_raw_24m,ETmax,0.464025047967408,0.0480223141648679,0.676290017376312,0.037320622905182,0.212264969408904,-22.2848303872766,filtered
M5_raw_24m,GPPsat,0.399234909878814,6.75042297846044,0.686779011042198,4.87420813815101,0.287544101163384,-27.7940337412358,filtered
M5_raw_24m,NEPmax,0.431113498408183,6.56452575976203,0.728981672917549,4.53095628860412,0.297868174509366,-30.9781627124216,filtered
M5_raw_24m,WUE,0.363420971636857,0.860942592966687,0.653669161958594,0.635029078382989,0.290248190321737,-26.2402530005203,filtered
