SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
US-CS4,,44.1597,-89.5475,329.55,CRO
US-CS5,,44.1095,-89.5377,334.87,CRO
US-CS6,,44.4297,-89.544,329.12,CRO
US-CS8,,44.4338,-89.5364,330.27,CRO
US-CdM,,37.5241,-109.7471,1858.38,WSA
US-Cst,,33.0442,-91.9204,45.49,ENF
US-DFC,,43.3448,-89.7117,263.09,CRO
US-DS3,,38.1235,-121.549,-5.45,CRO
US-Dmg,,38.0015,-121.6691,1.42,WET
US-EDN,Eden Landing Ecological Reserve,37.6156,-122.114,1.99,WET
US-Fcr,,65.3968,-148.9348,324.71,OSH
US-Fmf,,35.1426,-111.7273,2192.91,ENF
US-Fuf,,35.089,-111.762,2212.43,ENF
US-Fwf,,35.4454,-111.7718,2313.48,GRA
US-HB1,,33.3455,-79.1957,0.29,WET
US-HB2,,33.3242,-79.244,4.59,ENF
US-HB3,,33.3482,-79.2322,4.1,ENF
US-HRA,Humnoke Farm Rice Field – Field A,34.5852,-91.7517,60.39,CRO
US-HRC,Humnoke Farm Rice Field – Field C,34.5888,-91.7517,60.53,CRO
US-HWB,,40.8608,-77.8488,349.52,CVM
US-Hn2,,46.6889,-119.4641,117.58,GRA
US-Hn3,,46.6878,-119.4614,120.91,OSH
US-Ho2,,45.2091,-68.747,84.14,ENF
US-ICh,,68.6068,-149.2958,951.02,OSH
US-ICt,,68.6063,-149.3041,918.8,OSH
US-Jo1,,32.582,-106.635,1398.42,OSH
US-Jo2,,32.5849,-106.6032,1470.23,OSH
US-KFS,,39.0561,-95.1907,333.09,GRA
US-KLS,,38.7745,-97.5684,378.48,GRA
US-KS3,,28.7085,-80.7427,0.22,WET
US-Kon,,39.0824,-96.5603,443.29,GRA
US-LS2,,31.5659,-110.1344,1240.49,SAV
US-MAC,MacArthur Agro-Ecology,27.1632,-81.1873,9.35,WET
US-MOz,,38.7441,-92.2,238.51,DBF
US-Mo1,,39.2298,-92.1167,263.48,CRO
US-Mo2,,38.9488,-91.9945,273.62,GRA
US-Mo3,,39.2322,-92.1493,264.06,CRO
US-Mpj,,34.4384,-106.2377,2193.94,WSA
US-NC1,,35.8118,-76.7119,6.07,OSH
US-NC3,,35.799,-76.656,5.08,ENF
US-ONA,,40.1776,-112.4524,1655.33,GRA
US-PFL,,45.9409,-90.3177,467.29,DBF
US-PFb,,45.972,-90.3232,471.08,ENF
US-PFc,,45.9677,-90.3088,471.03,DBF
US-PFd,,45.9689,-90.301,464.13,WET
US-PFk,,45.9149,-90.3425,466.79,DBF
US-PFm,,45.9207,-90.3099,468,DBF
US-PFn,,45.9392,-90.2823,474.29,DBF
US-PFp,,45.9365,-90.2641,476.92,DBF
US-PFq,,45.9271,-90.2475,474.08,DBF
US-PFt,,45.9197,-90.2288,472.18,ENF
US-PSH,,36.2347,-119.9247,69.44,DBF
US-PSL,,36.8276,-120.1397,65.58,DBF
US-Pnp,,43.0896,-89.4158,265.62,WAT
US-RGA,,34.4159,-91.6733,59.09,CRO
US-RGB,,39.5782,-121.8579,33.29,CRO
US-RGF,,37.6995,-121.1369,16,CRO
US-RGW,,33.6216,-91.4306,43.2,CRO
US-RGo,,39.6805,-122.0026,40.39,CRO
US-RRC,,37.3344,-77.2065,0.67,WET
US-Rls,,43.1439,-116.7356,1618.86,CSH
US-Rms,,43.0645,-116.7486,2110.28,CSH
US-Ro1,,44.7143,-93.0898,287.57,CRO
US-Ro2,,44.7288,-93.0888,287.31,CRO
US-Ro3,,44.7217,-93.0893,283.8,CRO
US-Ro4,,44.6781,-93.0723,265.21,GRA
US-Ro5,,44.691,-93.0576,283.48,CRO
US-Ro6,,44.6946,-93.0578,283.19,CRO
US-Rpf,,65.1198,-147.429,487.7,DBF
US-Rwe,,43.0653,-116.7591,2095.4,CSH
US-Rwf,,43.1207,-116.7231,1882.6,CSH
US-Rws,,43.1675,-116.7132,1424.62,OSH
US-SP1,,29.7381,-82.2188,47.22,ENF
US-SRS,,31.8173,-110.8508,1167.63,WSA
US-SSH,,40.6658,-77.9041,302.33,DBF
US-Seg,,34.3623,-106.7019,1594.51,GRA
US-Ses,,34.3349,-106.7442,1599.98,OSH
US-Snf,,38.0402,-121.7272,-4.07,GRA
US-UC1,,40.7536,-78.0056,390.06,CVM
US-UC2,,40.7559,-77.9998,395.54,CVM
US-UM3,,45.5686,-84.6707,217.23,WAT
US-UTB,,40.7848,-113.8299,1285.27,BSV
US-Vcm,,35.8884,-106.5321,3033.99,ENF
US-Vcp,,35.8624,-106.5974,2485.37,ENF
US-Wjs,,34.4255,-105.8615,1929.02,SAV
US-YK2,,61.2548,-163.259,18.68,WET
US-xAB,,45.7624,-122.3303,364.39,ENF
US-xAE,,35.4106,-99.0588,520.07,GRA
US-xBA,,71.2824,-156.6194,5.29,WET
US-xBL,,39.0603,-78.0716,182.57,DBF
US-xBN,,65.154,-147.5026,232.79,ENF
US-xBR,,44.0639,-71.2873,275.02,DBF
US-xCL,,33.4012,-97.57,272.26,GRA
US-xCP,,40.8155,-104.7456,1653.93,GRA
US-xDC,,47.1617,-99.1066,575.6,GRA
US-xDJ,,63.8811,-145.7514,506.78,ENF
US-xDL,,32.5417,-87.8039,24.59,MF
US-xDS,,28.125,-81.4362,20.7,CVM
US-xGR,,35.689,-83.5019,576.55,DBF
US-xHA,,42.5369,-72.1727,348.23,DBF
US-xHE,,63.8757,-149.2133,677.56,OSH
US-xJE,,31.1948,-84.4686,46.53,ENF
US-xJR,,32.5907,-106.8425,1323.42,OSH
US-xKA,,39.1104,-96.6129,324.14,GRA
US-xKZ,,39.1008,-96.5631,415.06,GRA
US-xMB,,38.2483,-109.3883,1801.24,OSH
US-xML,,37.3783,-80.5248,1170.36,DBF
US-xNG,,46.7697,-100.9154,588.51,GRA
US-xNQ,,40.1776,-112.4524,1655.33,OSH
US-xRM,,40.2759,-105.5459,2743.94,ENF
US-xSB,,29.6893,-81.9934,46.15,ENF
US-xSC,,38.8929,-78.1395,353.02,DBF
US-xSE,,38.8901,-76.56,9.79,DBF
US-xSJ,,37.1088,-119.7323,398.8,SAV
US-xSL,,40.4619,-103.0293,1364.89,CRO
US-xSR,,31.9107,-110.8355,997.32,OSH
US-xST,,45.5089,-89.5864,475.42,DBF
US-xTA,,32.9505,-87.3933,165.87,ENF
US-xTL,,68.6611,-149.3705,827.85,WET
US-xTR,,45.4937,-89.5857,466.34,DBF
US-xUK,,39.0404,-95.1921,321.35,DBF
US-xUN,,46.2339,-89.5373,521.47,MF
US-xWD,,47.1282,-99.2414,590.92,GRA
US-xYE,,44.9535,-110.5391,2132.93,ENF
AR-CCg,,-35.9244,-61.1855,83,GRA
AR-SLu,San Luis,-33.4648,-66.4598,505,MF
AR-TF1,,-54.9733,-66.7335,33,WET
AU-Cum,Cumberland Plain,-33.6152,150.7236,37,EBF
AU-Lox,Loxton,-34.4704,140.6551,44,DBF
CZ-KrP,,49.573257,15.078773,540,CRO
DE-SfS,,47.80629,11.32757,594,WET
JP-BBY,Bibai bog,43.323,141.8107,15,WET
SE-Ros,,64.1725,19.738,0,ENF
AR-Vir,Virasoro,-28.2395,-56.1886,105,ENF
AU-ASM,Alice Springs,-22.283,133.249,607,SAV
AU-Ade,Adelaide River,-13.0769,131.1178,75,WSA
AU-Boy,,-32.477093,116.938559,390,EBF
AU-Cpr,Calperum,-34.0021,140.5891,65,SAV
AU-DaP,Daly River Pasture,-14.0633,131.3181,70,GRA
AU-DaS,Daly River Savanna,-14.1593,131.3881,76,SAV
AU-Dry,Dry River,-15.2588,132.3706,177,SAV
AU-Emr,Emerald,-23.8587,148.4746,179,GRA
