family,window,response,share,se,cc,n_vars,per_var,learner
new_deadwood_gain_pp_thresh,12 months,ETmax,7.6298867524533,0.338063393860399,Standing mortality / deadwood,10,0.76298867524533,Random Forest (Optuna)
new_deadwood_gain_pp_thresh,12 months,GPPsat,1.61148164558982,0.0681128274303383,Standing mortality / deadwood,10,0.161148164558982,Random Forest (Optuna)
new_deadwood_gain_pp_thresh,12 months,NEPmax,1.7012202846577,0.133601458151942,Standing mortality / deadwood,10,0.17012202846577,Random Forest (Optuna)
new_deadwood_gain_pp_thresh,12 months,WUE,4.62682575775753,0.157258442389156,Standing mortality / deadwood,10,0.462682575775753,Random Forest (Optuna)
new_deadwood_gain_pp_thresh,24 months,ETmax,5.20485556392478,0.242285172033561,Standing mortality / deadwood,10,0.520485556392478,Random Forest (Optuna)
new_deadwood_gain_pp_thresh,24 months,GPPsat,1.13713338729267,0.0508218157878981,Standing mortality / deadwood,10,0.113713338729267,Random Forest (Optuna)
new_deadwood_gain_pp_thresh,24 months,NEPmax,1.24718300850276,0.0890542417969861,Standing mortality / deadwood,10,0.124718300850276,Random Forest (Optuna)
new_deadwood_gain_pp_thresh,24 months,WUE,4.03367506173452,0.134542691168539,Standing mortality / deadwood,10,0.403367506173452,Random Forest (Optuna)
new_mortality_rate_pct,12 months,ETmax,8.21037849831747,0.258422605541462,Standing mortality / deadwood,10,0.821037849831747,Random Forest (Optuna)
new_mortality_rate_pct,12 months,GPPsat,3.15458306818093,0.105213432362992,Standing mortality / deadwood,10,0.315458306818093,Random Forest (Optuna)
new_mortality_rate_pct,12 months,NEPmax,3.69726445744829,0.109863646270818,Standing mortality / deadwood,10,0.369726445744829,Random Forest (Optuna)
new_mortality_rate_pct,12 months,WUE,2.1589539763172,0.0752112332304634,Standing mortality / deadwood,10,0.21589539763172,Random Forest (Optuna)
new_mortality_rate_pct,24 months,ETmax,7.51490911751606,0.214554289821888,Standing mortality / deadwood,10,0.751490911751606,Random Forest (Optuna)
new_mortality_rate_pct,24 months,GPPsat,2.41080391335161,0.0786971215653601,Standing mortality / deadwood,10,0.241080391335161,Random Forest (Optuna)
new_mortality_rate_pct,24 months,NEPmax,2.3065495718766,0.0759200220469857,Standing mortality / deadwood,10,0.23065495718766,Random Forest (Optuna)
new_mortality_rate_pct,24 months,WUE,1.45353597315409,0.0431132717914832,Standing mortality / deadwood,10,0.145353597315409,Random Forest (Optuna)
new_mortality_rate_pct_thresh,12 months,ETmax,9.09700903435517,0.368799458955959,Standing mortality / deadwood,10,0.909700903435517,Random Forest (Optuna)
new_mortality_rate_pct_thresh,12 months,GPPsat,1.52135789989312,0.0609421200115452,Standing mortality / deadwood,10,0.152135789989312,Random Forest (Optuna)
new_mortality_rate_pct_thresh,12 months,NEPmax,1.46102257312823,0.0876553662154253,Standing mortality / deadwood,10,0.146102257312823,Random Forest (Optuna)
new_mortality_rate_pct_thresh,12 months,WUE,2.44520654236178,0.0766104288864936,Standing mortality / deadwood,10,0.244520654236178,Random Forest (Optuna)
new_mortality_rate_pct_thresh,24 months,ETmax,5.55448784565528,0.244430786452966,Standing mortality / deadwood,10,0.555448784565528,Random Forest (Optuna)
new_mortality_rate_pct_thresh,24 months,GPPsat,1.141629051556,0.0459690895228204,Standing mortality / deadwood,10,0.1141629051556,Random Forest (Optuna)
new_mortality_rate_pct_thresh,24 months,NEPmax,0.903269901749003,0.0425280265785496,Standing mortality / deadwood,10,0.0903269901749003,Random Forest (Optuna)
new_mortality_rate_pct_thresh,24 months,WUE,2.0081274672844,0.0676335874404389,Standing mortality / deadwood,10,0.20081274672844,Random Forest (Optuna)
relative_disturbance,12 months,ETmax,16.8339239325256,0.653885855353466,Combined index (rho = 0.97 with rel. mortality),10,1.68339239325256,Random Forest (Optuna)
relative_disturbance,12 months,GPPsat,29.2789081549581,0.744226516576587,Combined index (rho = 0.97 with rel. mortality),10,2.92789081549581,Random Forest (Optuna)
relative_disturbance,12 months,NEPmax,35.1216539350048,0.936756694623783,Combined index (rho = 0.97 with rel. mortality),10,3.51216539350048,Random Forest (Optuna)
relative_disturbance,12 months,WUE,46.2954866666399,0.791987306423466,Combined index (rho = 0.97 with rel. mortality),10,4.62954866666399,Random Forest (Optuna)
relative_disturbance,24 months,ETmax,15.6800884684238,0.57447164777039,Combined index (rho = 0.97 with rel. mortality),10,1.56800884684238,Random Forest (Optuna)
relative_disturbance,24 months,GPPsat,30.5697089486614,0.766355618380876,Combined index (rho = 0.97 with rel. mortality),10,3.05697089486614,Random Forest (Optuna)
relative_disturbance,24 months,NEPmax,34.8256779552994,0.917895332980368,Combined index (rho = 0.97 with rel. mortality),10,3.48256779552994,Random Forest (Optuna)
relative_disturbance,24 months,WUE,47.9949660053953,0.776052167854014,Combined index (rho = 0.97 with rel. mortality),10,4.79949660053953,Random Forest (Optuna)
