model,response,R2_base,RMSE_base,R2_e1,RMSE_e1,R2_e2,RMSE_e2,dataset,mem
M6_raw_24m,NEPmax,0.62396456121601,5.47388131986212,0.793627591097842,4.05514890248759,0.802882427916697,3.96317874175803,All sites (112),raw
M6_raw_24m,WUE,0.416084347736745,0.939339839530036,0.636846432469323,0.740786127974718,0.642207980720141,0.735297362643455,All sites (112),raw
M6_raw_24m,uWUE,0.363163345791937,0.878250890036053,0.608998154784995,0.68816721105319,0.625526231330025,0.673465376745073,All sites (112),raw
M7_anom_12m,ETmax,0.428889685909175,0.0526501620182286,0.430240512565168,0.0525878593899286,0.428889685909175,0.0526501620182286,All sites (112),anom
M7_anom_12m,GPPsat,0.334629882243724,7.32855274089013,0.280741410527453,7.61954608107749,0.334629882243724,7.32855274089013,All sites (112),anom
M7_anom_12m,NEPmax,0.353748466513221,7.1759892989614,0.302841449547008,7.45326852514922,0.353748466513221,7.1759892989614,All sites (112),anom
M7_anom_12m,WUE,0.187317940412993,1.10817416182199,0.13370109659794,1.14414631446528,0.187317940412993,1.10817416182199,All sites (112),anom
M7_anom_12m,uWUE,0.0733405875956401,1.05941140327421,0.0345854304683385,1.08133807928315,0.0733405875956401,1.05941140327421,All sites (112),anom
M7_anom_24m,ETmax,0.414235689627469,0.0533213533710193,0.439333109180556,0.0521665559476057,0.414235689627469,0.0533213533710193,All sites (112),anom
M7_anom_24m,GPPsat,0.341684539963977,7.2895983296806,0.289219212799617,7.57450770046084,0.341684539963977,7.2895983296806,All sites (112),anom
M7_anom_24m,NEPmax,0.356299271827534,7.16181320126661,0.308325651753814,7.42389505212228,0.356299271827534,7.16181320126661,All sites (112),anom
M7_anom_24m,WUE,0.172346706159491,1.11833497558572,0.127198559086263,1.1484323324637,0.172346706159491,1.11833497558572,All sites (112),anom
M7_anom_24m,uWUE,0.0801843076006451,1.05549208235749,0.0258153926500927,1.08623853145889,0.0801843076006451,1.05549208235749,All sites (112),anom
M7_raw_12m,ETmax,0.542220692867798,0.0471376349735571,0.724545691131742,0.0365649088710403,0.723498249376608,0.0366343637146476,All sites (112),raw
M7_raw_12m,GPPsat,0.496685741858029,6.37391383398756,0.710370942377903,4.83512423005755,0.726335117670416,4.69998104874603,All sites (112),raw
M7_raw_12m,NEPmax,0.541512769003883,6.04428051250352,0.760310313653116,4.37024377260791,0.782779293633425,4.16036658804518,All sites (112),raw
M7_raw_12m,WUE,0.401183335259736,0.951249896800057,0.632563196323099,0.745141944703975,0.644369634746787,0.733072793010087,All sites (112),raw
M7_raw_12m,uWUE,0.31508267804423,0.910801311999528,0.588016844899146,0.706389609113824,0.599991395072275,0.696048079525422,All sites (112),raw
M7_raw_24m,ETmax,0.571803220234271,0.0455891409424309,0.744356967581542,0.0352254614037741,0.749863822305176,0.0348439967693529,All sites (112),raw
M7_raw_24m,GPPsat,0.54366603656741,6.06915135091166,0.744125886959898,4.54464271963419,0.746341957150821,4.52491984047071,All sites (112),raw
M7_raw_24m,NEPmax,0.578542268048284,5.79506086839618,0.787397075147061,4.1159075057682,0.799953038986981,3.99251878510634,All sites (112),raw
M7_raw_24m,WUE,0.440013471227794,0.919891219457577,0.622068908935894,0.755707955735613,0.640042442783895,0.737519201224105,All sites (112),raw
M7_raw_24m,uWUE,0.374743751122613,0.870229082394925,0.599834842739048,0.696184273209594,0.6199827345845,0.67843186326071,All sites (112),raw
M8_anom_12m,ETmax,0.460253846980245,0.0511840312671865,0.44047051315775,0.0521136149124381,0.460253846980245,0.0511840312671865,All sites (112),anom
M8_anom_12m,GPPsat,0.453198454040539,6.64356882181078,0.395271495777714,6.98661466786104,0.453198454040539,6.64356882181078,All sites (112),anom
M8_anom_12m,NEPmax,0.496716484074087,6.33267707124527,0.4516136436622,6.61034779084905,0.496716484074087,6.33267707124527,All sites (112),anom
M8_anom_12m,WUE,0.186175710216218,1.10895266155578,0.134839716450579,1.14339416295558,0.186175710216218,1.10895266155578,All sites (112),anom
